ID,MUNICIPIO,ID2,Departamento,lat,lon
52687,SAN LORENZO,52,Nari?±o,1.5,-77.1666667
73678,SAN LUIS,73,Tolima,4.1666667,-75.0833333
5660,SAN LU?­S,5,Antioquia,6,-74.8333333
15667,SAN LU?­S DE GACENO,15,Boyac?¡,4.8213889,-73.1675
85325,SAN LU?­S DE PALENQUE,85,Casanare,5.2805556,-71.5819444
70708,SAN MARCOS,70,Sucre,8.5833333,-75.1666667
20770,SAN MART?­N,20,Cesar,8.0047222,-73.5152778
50689,SAN MART?­N,50,Meta,3.7,-73.7
13667,SAN MART?­N DE LOBA,13,Bol?­var,8.8333333,-73.9166667
15673,SAN MATEO,15,Boyac?¡,6.5,-72.5
68684,SAN MIGUEL,68,Santander,6.6666667,-72.55
86757,SAN MIGUEL,86,Putumayo,0.3394444,-76.8830556
15676,SAN MIGUEL DE SEMA,15,Boyac?¡,5.55,-73.75
70713,SAN ONOFRE,70,Sucre,9.8333333,-75.5
13670,SAN PABLO,13,Bol?­var,10.0527778,-75.2680556
52693,SAN PABLO,52,Nari?±o,1.6666667,-76.9166667
15681,SAN PABLO DE BORBUR,15,Boyac?¡,5.75,-74.0833333
5664,SAN PEDRO,5,Antioquia,6.45,-75.5833333
70717,SAN PEDRO,70,Sucre,9.4166667,-75
76670,SAN PEDRO,76,Valle del Cauca,4,-76.1666667
52694,SAN PEDRO DE CARTAGO,52,Nari?±o,1.5613889,-77.1180556
5665,SAN PEDRO DE URAB?¡,5,Antioquia,8.2761111,-76.3786111
23686,SAN PELAYO,23,C?³rdoba,9,-75.9166667
5667,SAN RAFAEL,5,Antioquia,6.3,-75
5670,SAN ROQUE,5,Antioquia,6.4166667,-74.8333333
19693,SAN SEBASTI?¡N,19,Cauca,1.9166667,-76.6666667
47692,SAN SEBASTI?¡N DE BUENAVISTA,47,Magdalena,9.3333333,-74.3333333
5674,SAN VICENTE,5,Antioquia,6.3333333,-75.3333333
18753,SAN VICENTE DEL CAGU?¡N,18,Caquet?¡,2.1525,-74.7888889
68689,SAN VICENTE DEL CHUCUR?­,68,Santander,6.8836111,-73.4138889
47703,SAN ZEN?³N,47,Magdalena,9.3333333,-74.3
52683,SANDON?¡,52,Nari?±o,1.25,-77.45
47707,SANTA ANA,47,Magdalena,9.3166667,-74.5833333
5679,SANTA B?¡RBARA,5,Antioquia,5.8666667,-75.5833333
68705,SANTA B?¡RBARA,68,Santander,6.9927778,-72.9102778
52695,SANTA B?¡RBARA (ISCUAND?©),52,Nari?±o,2.3333333,-77.9166667
47720,SANTA B?¡RBARA DE PINTO,47,Magdalena,10.6,-74.167
13673,SANTA CATALINA,13,Bol?­var,10.5833333,-75.25
5042,SANTA F?© DE ANTIOQUIA,5,Antioquia,6.5597222,-75.8280556
27250,SANTA GENOVEVA DE DOCOROD?³,27,Choc?³,4.2586111,-77.3675
68720,SANTA HELENA DEL OP?³N,68,Santander,6.3375,-73.5919444
73686,SANTA ISABEL,73,Tolima,4.75,-75.1666667
